iter	Passed	Remaining
0	51	51713
1	52	26239
2	53	17757
3	54	13489
4	54	10923
5	55	9192
6	56	7950
7	56	7039
8	57	6318
9	58	5750
10	58	5284
11	59	4895
12	60	4557
13	60	4269
14	61	4026
15	62	3814
16	62	3629
17	63	3461
18	64	3310
19	65	3185
20	65	3072
21	66	2976
22	67	2877
23	68	2794
24	69	2707
25	70	2623
26	70	2545
27	71	2471
28	71	2401
29	72	2341
30	73	2287
31	73	2229
32	74	2177
33	74	2128
34	75	2083
35	76	2039
36	77	2004
37	77	1969
38	78	1938
39	79	1915
40	80	1884
41	81	1857
42	82	1827
43	82	1797
44	83	1774
45	84	1750
46	85	1723
47	85	1700
48	86	1675
49	87	1653
50	87	1631
51	88	1609
52	88	1587
53	89	1568
54	90	1549
55	90	1531
56	91	1516
57	92	1500
58	93	1486
59	94	1474
60	94	1461
61	95	1449
62	96	1436
63	97	1421
64	97	1407
65	98	1394
66	99	1382
67	99	1364
68	100	1351
69	100	1339
70	101	1327
71	102	1315
72	102	1304
73	103	1292
74	104	1283
75	104	1273
76	105	1264
77	106	1255
78	107	1248
79	107	1241
80	108	1234
81	109	1224
82	109	1215
83	110	1206
84	111	1195
85	111	1187
86	112	1177
87	112	1170
88	113	1164
89	114	1157
90	115	1150
91	115	1143
92	116	1137
93	117	1131
94	118	1124
95	118	1120
96	119	1115
97	120	1111
98	121	1106
99	122	1101
100	123	1097
101	123	1087
102	124	1082
103	125	1077
104	125	1071
105	126	1065
106	126	1059
107	127	1054
108	128	1052
109	129	1048
110	130	1043
111	131	1039
112	131	1034
113	132	1030
114	133	1026
115	134	1021
116	134	1016
117	135	1014
118	136	1009
119	137	1005
120	137	1001
121	138	997
122	139	991
123	140	989
124	141	988
125	142	985
126	143	983
127	143	978
128	144	975
129	145	976
130	147	975
131	148	973
132	148	970
133	150	970
134	151	969
135	152	967
136	153	964
137	153	960
138	154	959
139	155	955
140	156	952
141	156	948
142	157	945
143	158	943
144	159	940
145	160	937
146	161	935
147	162	933
148	163	931
149	164	930
150	165	928
151	165	925
152	166	921
153	167	918
154	167	914
155	168	911
156	169	908
157	169	905
158	170	902
159	171	900
160	172	897
161	172	894
162	173	891
163	174	888
164	175	887
165	176	885
166	178	888
167	178	885
168	179	883
169	180	880
170	181	878
171	181	875
172	182	872
173	183	869
174	184	867
175	184	865
176	185	862
177	186	859
178	186	856
179	187	854
180	188	851
181	189	850
182	190	850
183	191	847
184	191	845
185	192	843
186	193	840
187	194	838
188	194	835
189	195	832
190	195	829
191	196	826
192	197	825
193	198	822
194	198	820
195	199	817
196	199	814
197	200	811
198	200	808
199	202	809
200	203	807
201	204	806
202	205	805
203	205	803
204	206	801
205	207	800
206	208	797
207	208	795
208	209	792
209	210	790
210	210	788
211	211	786
212	212	784
213	213	782
214	213	780
215	214	780
216	215	778
217	216	778
218	218	778
219	218	776
220	219	774
221	220	771
222	220	769
223	221	767
224	221	764
225	222	762
226	223	760
227	223	757
228	224	755
229	225	753
230	225	751
231	226	748
232	226	746
233	227	744
234	228	743
235	229	741
236	229	740
237	230	739
238	231	737
239	232	735
240	232	733
241	233	731
242	233	728
243	234	726
244	235	724
245	235	723
246	236	720
247	236	718
248	237	716
249	237	713
250	238	711
251	238	709
252	239	706
253	239	704
254	240	702
255	241	700
256	242	699
257	242	698
258	243	696
259	244	696
260	245	694
261	246	693
262	246	692
263	247	690
264	248	689
265	249	688
266	250	686
267	250	684
268	251	683
269	252	681
270	252	680
271	253	678
272	254	677
273	256	678
274	257	678
275	258	677
276	259	676
277	260	675
278	260	673
279	261	672
280	262	671
281	263	670
282	264	668
283	264	667
284	265	666
285	266	664
286	266	662
287	267	661
288	268	659
289	269	659
290	271	661
291	272	660
292	273	660
293	274	659
294	275	657
295	275	656
296	276	654
297	277	653
298	278	651
299	278	650
300	279	649
301	280	647
302	280	646
303	281	645
304	282	644
305	283	643
306	284	643
307	285	642
308	286	641
309	287	640
310	288	638
311	289	637
312	290	636
313	290	635
314	291	634
315	292	632
316	293	631
317	293	630
318	295	630
319	296	629
320	297	628
321	298	627
322	298	626
323	299	625
324	300	623
325	301	622
326	301	621
327	302	620
328	303	618
329	304	617
330	304	616
331	305	614
332	306	613
333	307	612
334	308	611
335	308	610
336	309	609
337	310	608
338	311	607
339	312	606
340	313	605
341	313	604
342	314	602
343	315	601
344	316	600
345	316	598
346	317	597
347	318	595
348	318	594
349	319	592
350	319	591
351	320	589
352	321	588
353	322	588
354	323	587
355	324	586
356	325	586
357	326	585
358	327	584
359	327	583
360	328	581
361	329	580
362	330	579
363	330	577
364	331	576
365	331	574
366	332	573
367	333	572
368	333	571
369	334	569
370	335	568
371	336	567
372	337	567
373	338	566
374	339	565
375	339	564
376	340	563
377	341	561
378	341	560
379	342	558
380	343	557
381	343	556
382	344	555
383	345	553
384	345	552
385	346	551
386	347	549
387	347	548
388	348	547
389	349	547
390	350	545
391	351	545
392	352	544
393	353	543
394	354	542
395	354	540
396	355	539
397	355	538
398	356	537
399	357	536
400	358	534
401	358	533
402	359	532
403	360	531
404	360	529
405	361	529
406	362	528
407	363	527
408	364	526
409	365	525
410	366	524
411	367	524
412	367	522
413	368	521
414	369	520
415	369	519
416	370	517
417	371	516
418	371	515
419	372	514
420	373	513
421	373	511
422	374	510
423	375	509
424	376	508
425	377	508
426	378	507
427	379	507
428	379	505
429	380	504
430	381	503
431	381	502
432	382	501
433	383	500
434	384	498
435	384	497
436	385	496
437	386	495
438	386	494
439	387	493
440	388	492
441	389	491
442	389	490
443	390	489
444	391	488
445	392	487
446	393	486
447	394	485
448	395	485
449	395	483
450	396	482
451	397	481
452	397	480
453	398	479
454	398	477
455	399	476
456	400	475
457	400	474
458	401	473
459	402	472
460	403	471
461	404	471
462	405	470
463	408	471
464	409	471
465	410	470
466	411	469
467	412	468
468	412	467
469	413	466
470	414	465
471	415	464
472	417	464
473	418	463
474	418	463
475	419	462
476	420	461
477	421	460
478	422	459
479	422	457
480	423	456
481	424	455
482	424	454
483	425	453
484	425	452
485	426	451
486	427	449
487	427	448
488	428	447
489	429	447
490	430	446
491	431	445
492	431	444
493	432	443
494	433	442
495	434	441
496	434	440
497	435	439
498	436	438
499	436	436
500	437	435
501	438	434
502	438	433
503	439	432
504	439	431
505	440	430
506	441	428
507	441	427
508	442	427
509	443	426
510	444	425
511	445	424
512	446	423
513	447	422
514	447	421
515	448	420
516	449	419
517	449	418
518	450	417
519	451	416
520	451	415
521	452	414
522	453	413
523	453	412
524	454	411
525	455	410
526	455	408
527	456	408
528	457	407
529	458	406
530	459	405
531	460	404
532	460	403
533	461	402
534	462	401
535	462	400
536	463	399
537	464	398
538	464	397
539	465	396
540	465	395
541	466	394
542	466	393
543	467	391
544	468	390
545	468	389
546	469	388
547	470	387
548	471	386
549	472	386
550	472	385
551	473	384
552	474	383
553	474	382
554	475	381
555	476	380
556	476	379
557	477	378
558	477	377
559	478	376
560	479	375
561	480	374
562	480	373
563	481	371
564	481	370
565	482	369
566	482	368
567	483	367
568	484	367
569	485	366
570	486	365
571	487	365
572	488	364
573	489	363
574	490	362
575	490	361
576	491	360
577	491	359
578	492	358
579	493	357
580	493	356
581	494	355
582	494	354
583	495	352
584	496	351
585	496	350
586	497	349
587	497	348
588	498	347
589	499	347
590	500	346
591	501	345
592	502	344
593	502	343
594	503	342
595	504	341
596	504	340
597	505	339
598	505	338
599	506	337
600	506	336
601	507	335
602	508	334
603	508	333
604	509	332
605	509	331
606	510	330
607	510	329
608	511	328
609	512	327
610	513	327
611	514	326
612	515	325
613	515	324
614	516	323
615	517	322
616	517	321
617	518	320
618	519	319
619	519	318
620	520	317
621	520	316
622	521	315
623	521	314
624	522	313
625	522	312
626	523	311
627	523	310
628	524	309
629	525	308
630	526	307
631	527	307
632	528	306
633	529	305
634	530	304
635	530	303
636	531	302
637	532	301
638	532	301
639	533	300
640	534	299
641	535	298
642	535	297
643	536	296
644	537	295
645	538	294
646	538	293
647	539	292
648	540	292
649	541	291
650	542	290
651	543	290
652	544	289
653	544	288
654	545	287
655	546	286
656	547	285
657	547	284
658	548	283
659	548	282
660	549	281
661	550	280
662	551	280
663	551	279
664	552	278
665	553	277
666	554	276
667	555	276
668	556	275
669	557	274
670	558	273
671	559	272
672	559	271
673	560	271
674	561	270
675	562	269
676	562	268
677	563	267
678	564	266
