iter	Passed	Remaining
0	54	54492
1	55	27707
2	56	18726
3	57	14235
4	57	11525
5	58	9716
6	59	8468
7	60	7512
8	61	6814
9	63	6253
10	64	5807
11	65	5399
12	66	5050
13	67	4749
14	68	4479
15	69	4245
16	69	4037
17	70	3849
18	71	3676
19	72	3532
20	73	3417
21	74	3311
22	75	3202
23	76	3101
24	77	3015
25	78	2930
26	79	2852
27	79	2773
28	80	2704
29	81	2641
30	82	2577
31	83	2520
32	84	2462
33	84	2408
34	85	2357
35	86	2309
36	87	2266
37	88	2231
38	89	2196
39	90	2163
40	91	2129
41	91	2096
42	92	2062
43	93	2029
44	94	2000
45	95	1970
46	95	1946
47	96	1920
48	97	1894
49	98	1871
50	99	1846
51	100	1823
52	100	1799
53	101	1778
54	102	1761
55	103	1744
56	104	1727
57	105	1710
58	106	1690
59	106	1673
60	107	1658
61	108	1642
62	109	1627
63	110	1613
64	111	1599
65	111	1584
66	112	1570
67	113	1556
68	114	1542
69	114	1526
70	115	1514
71	116	1501
72	117	1492
73	118	1481
74	119	1469
75	119	1458
76	120	1447
77	121	1436
78	122	1424
79	123	1414
80	123	1405
81	124	1396
82	125	1381
83	125	1372
84	126	1363
85	127	1354
86	128	1345
87	128	1336
88	129	1327
89	130	1321
90	131	1314
91	132	1306
92	133	1298
93	133	1289
94	134	1281
95	135	1275
96	136	1268
97	136	1260
98	137	1253
99	138	1246
100	139	1239
101	140	1232
102	140	1227
103	141	1221
104	142	1214
105	143	1208
106	143	1201
107	144	1197
108	145	1192
109	146	1187
110	147	1182
111	148	1175
112	148	1168
113	149	1161
114	150	1155
115	150	1148
116	151	1140
117	151	1135
118	152	1129
119	153	1123
120	153	1117
121	154	1109
122	154	1104
123	155	1099
124	156	1093
125	156	1088
126	157	1082
127	158	1077
128	158	1072
129	159	1069
130	160	1064
131	161	1059
132	161	1055
133	162	1050
134	163	1045
135	163	1039
136	164	1034
137	164	1029
138	165	1023
139	165	1018
140	166	1013
141	166	1007
142	167	1002
143	167	997
144	168	993
145	169	988
146	169	984
147	170	979
148	170	974
149	171	970
150	171	966
151	172	962
152	173	958
153	174	958
154	175	955
155	175	952
156	176	948
157	177	944
158	177	940
159	178	936
160	178	930
161	179	926
162	179	922
163	180	919
164	180	915
165	181	911
166	181	907
167	182	903
168	183	900
169	183	896
170	184	893
171	184	889
172	185	886
173	185	882
174	186	879
175	187	876
176	187	872
177	188	870
178	189	868
179	190	866
180	191	864
181	191	861
182	192	858
183	192	855
184	193	852
185	194	849
186	194	847
187	195	844
188	195	840
189	196	837
190	197	834
191	197	831
192	198	828
193	198	825
194	199	822
195	199	819
196	200	816
197	200	813
198	201	812
199	202	810
200	203	807
201	203	805
202	204	803
203	205	800
204	205	797
205	206	794
206	206	792
207	207	789
208	207	786
209	208	784
210	208	781
211	209	778
212	210	776
213	210	773
214	211	771
215	211	768
216	212	765
217	212	762
218	213	760
219	213	757
220	214	755
221	214	752
222	215	750
223	216	749
224	217	747
225	217	745
226	218	743
227	218	741
228	219	738
229	220	736
230	220	734
231	221	731
232	221	729
233	222	727
234	222	725
235	223	722
236	223	720
237	224	718
238	224	716
239	225	713
240	226	711
241	226	709
242	227	707
243	227	705
244	228	703
245	228	701
246	229	699
247	230	697
248	230	696
249	231	694
250	232	692
251	232	691
252	233	689
253	234	687
254	234	685
255	235	683
256	235	681
257	236	679
258	236	677
259	237	675
260	237	673
261	238	671
262	239	670
263	239	668
264	240	666
265	240	664
266	241	662
267	241	660
268	242	658
269	242	656
270	243	654
271	243	652
272	244	651
273	245	650
274	246	648
275	246	647
276	247	646
277	248	644
278	248	642
279	249	641
280	249	639
281	250	637
282	251	636
283	251	634
284	252	632
285	252	630
286	253	628
287	253	627
288	254	625
289	254	623
290	255	621
291	255	620
292	256	618
293	256	616
294	257	615
295	257	613
296	258	612
297	259	611
298	260	610
299	261	609
300	262	608
301	262	607
302	263	605
303	264	604
304	264	603
305	265	601
306	265	599
307	266	598
308	266	596
309	267	595
310	267	593
311	268	591
312	268	590
313	269	588
314	270	587
315	270	586
316	271	584
317	271	583
318	272	581
319	273	580
320	274	579
321	274	578
322	275	577
323	276	576
324	277	575
325	277	574
326	278	572
327	278	571
328	279	570
329	280	568
330	280	567
331	281	566
332	281	564
333	282	563
334	282	561
335	283	560
336	283	558
337	284	557
338	284	555
339	285	554
340	285	552
341	286	551
342	287	550
343	288	549
344	288	548
345	289	547
346	290	546
347	290	544
348	291	543
349	291	541
350	292	540
351	292	539
352	293	537
353	293	536
354	294	534
355	294	533
356	295	532
357	295	530
358	296	529
359	297	528
360	297	526
361	298	525
362	298	523
363	299	522
364	299	521
365	300	520
366	300	518
367	301	517
368	302	516
369	302	515
370	303	514
371	303	513
372	304	512
373	305	510
374	305	509
